"batch","disease","astrocytes","endothelia cells","excitatory neurons","inhibitory neurons","microglia","oligodendrocyte precursor cells","oligodendrocytes","pericytes"
"HC0763PFC_MAH","HC",1138,44,3019,826,117,301,666,0
"HC0772PFC_MAH","HC",1000,114,1469,1191,426,378,1223,0
"HC0931PFC_MAH","HC",335,0,23,242,638,0,7216,0
"HC1073PFC_MAH","HC",863,67,1030,906,463,407,3167,0
"HC1074PFC_MAH","HC",219,0,718,244,50,84,568,0
"HC1094PFC_MAH","HC",516,38,1138,752,0,200,770,0
"HC1419PFC_MAH","HC",1660,215,4924,3283,300,128,615,0
"HC1611PFC_MAH","HC",884,40,539,792,309,55,468,0
"HC1719PFC_MAH","HC",449,28,0,43,298,351,8203,0
"HC1817PFC_MAH","HC",658,0,272,599,301,0,3917,0
"HC1821PFC_MAH","HC",1281,95,1063,738,335,370,1359,0
"HC1855PFC_MAH","HC",991,102,1049,1024,274,417,1882,17
"HC1860PFC_MAH","HC",1207,109,1827,1173,412,0,3275,0
"HC1915PFC_MAH","HC",1085,280,1524,1213,270,312,1783,0
"HC1943PFC_MAH","HC",1379,0,1862,1185,479,449,1240,195
"HC2029PFC_MAH","HC",920,60,1803,1106,343,272,2553,0
"HC2070PFC_MAH","HC",887,123,1204,1214,361,361,1661,0
"HC2204PFC_MAH","HC",816,106,1223,808,266,246,3096,0
"PD0009PFC_MAH","PD",877,46,723,613,306,262,1310,0
"PD0237PFC_MAH","PD",263,0,0,0,141,164,4177,0
"PD0348PFC_MAH","PD",989,118,973,1414,376,390,1764,0
"PD0417PFC_MAH","PD",906,54,301,235,158,254,6666,0
"PD0517PFC_MAH","PD",1684,98,668,1117,792,382,1489,0
"PD11110PFC_MAH","PD",701,95,494,445,189,302,4315,0
"PD1317PFC_MAH","PD",2127,174,3400,1648,606,468,1202,0
"PD1318PFC_MAH","PD",894,43,1761,1146,307,321,347,0
"PD9909PFC_MAH","PD",675,33,2550,722,0,0,149,0
"RBD1042PFC_MAH","RBD",838,0,0,1694,221,247,13159,0
"RBD1405PFC_MAH","RBD",1467,143,1581,1721,707,38,1216,0
"RBD1430PFC_MAH","RBD",844,120,923,641,287,302,951,49
"RBD1546PFC_MAH","RBD",543,46,71,86,275,214,3822,0
"RBD1585PFC_MAH","RBD",1036,125,2066,1157,202,386,2580,0
"RBD1762PFC_MAH","RBD",165,0,89,177,176,0,3999,0
"RBD1820PFC_MAH","RBD",772,85,1718,843,205,284,2588,0
"RBD1835PFC_MAH","RBD",851,164,2037,746,443,482,1596,0
"RBD1848PFC_MAH","RBD",938,61,1534,1005,299,292,1503,0
